MASIE NSIDC/NIC Sea Ice Product G02186 - Daily Ice Extent by Region in Square Kilometers
yyyyddd, (0) Northern_Hemisphere, (1) Beaufort_Sea, (2) Chukchi_Sea, (3) East_Siberian_Sea, (4) Laptev_Sea, (5) Kara_Sea, (6) Barents_Sea, (7) Greenland_Sea, (8) Baffin_Bay_Gulf_of_St._Lawrence, (9) Canadian_Archipelago, (10) Hudson_Bay, (11) Central_Arctic, (12) Bering_Sea, (13) Baltic_Sea, (14) Sea_of_Okhotsk, (15) Yellow_Sea, (16) Cook_Inlet
 2021312, 9306330.22,  994744.01,  761641.24, 1087137.23,  897826.69,  636249.32,  127646.24,  421279.16,  291911.13,  737175.71,   66872.57, 3194971.05,   76937.17,       0.00,   10378.65,       0.00,       0.00
 2021313, 9367403.27, 1011877.00,  762245.73, 1087137.23,  897826.69,  646276.74,  146294.20,  407551.00,  308426.63,  749681.25,   67856.75, 3194448.12,   79101.49,       0.00,    7120.42,       0.00,       0.00
 2021314, 9480311.40, 1020936.85,  789698.63, 1087137.23,  897826.69,  663829.26,  155770.59,  398895.66,  330480.26,  776335.16,   69782.82, 3201438.63,   79563.38,       0.00,    7120.42,       0.00,       0.00
 2021315, 9663176.63, 1029954.25,  819935.77, 1087137.23,  897826.69,  647118.02,  180612.87,  412456.42,  396262.83,  793950.62,   79424.12, 3206789.25,  101313.04,       0.00,    8835.49,       0.00,       0.00
 2021316, 9804464.30, 1038042.44,  842739.10, 1087137.23,  897826.69,  644319.57,  199768.43,  430068.50,  408706.79,  799435.70,  106775.29, 3212234.09,  117383.33,    1715.58,   16751.54,       0.00,       0.00
 2021317, 9881921.19, 1053760.99,  849958.72, 1087137.23,  897826.69,  660653.30,  203991.31,  434046.06,  424831.34,  804967.69,  117606.08, 3214812.99,  112301.65,    1715.58,   16751.54,       0.00,       0.00
 2021318, 9958099.79, 1047486.00,  850003.49, 1087137.23,  897826.69,  687049.48,  213519.75,  431953.67,  456747.56,  804016.01,  124435.41, 3216192.98,  121622.79,    1715.58,   16833.11,       0.00,       0.00
 2021319,10136298.49, 1052365.07,  868672.16, 1087137.23,  897826.69,  711108.55,  286731.73,  404108.47,  511294.60,  824385.27,  155801.11, 3216117.07,  104712.18,    1715.58,   10744.64,       0.00,    2018.10
 2021320,10231580.68, 1057510.78,  898981.54, 1087137.23,  897826.69,  742038.30,  301258.73,  391754.25,  539298.16,  833102.46,  154062.71, 3204704.24,  106676.04,     604.07,   12966.73,       0.00,    2098.72
 2021321,10213745.25, 1060588.76,  931927.63, 1078609.88,  897826.69,  757121.12,  318885.63,  371916.83,  525233.15,  847302.37,  109202.63, 3194226.89,  113975.13,     604.07,    3474.00,       0.00,    1290.45
 2021322,10322487.35, 1066707.01,  953871.08, 1087085.46,  897826.69,  764230.91,  327585.48,  385764.82,  529470.56,  854528.66,  112934.70, 3199021.58,  132361.28,     955.40,    7134.64,       0.00,    1449.05
 2021323,10389295.31, 1070758.57,  959665.64, 1087085.46,  897826.69,  773186.96,  325678.69,  394970.01,  545002.29,  854546.05,  134781.73, 3190883.04,  142293.38,     955.40,    8652.32,       0.00,    1449.05
 2021324,10420228.23, 1070758.57,  965885.69, 1087085.46,  897826.69,  773538.80,  319495.03,  386158.43,  532756.82,  854546.05,  159551.60, 3195800.18,  164208.12,     955.40,    8652.32,       0.00,    1449.05
 2021325,10483601.34, 1070758.57,  965885.69, 1087085.46,  897826.69,  764493.53,  316219.83,  419237.42,  534894.49,  854546.05,  177990.68, 3207621.61,  174424.52,     955.40,    8652.32,       0.00,    1449.05
