MASIE NSIDC/NIC Sea Ice Product G02186 - Daily Ice Extent by Region in Square Kilometers
yyyyddd, (0) Northern_Hemisphere, (1) Beaufort_Sea, (2) Chukchi_Sea, (3) East_Siberian_Sea, (4) Laptev_Sea, (5) Kara_Sea, (6) Barents_Sea, (7) Greenland_Sea, (8) Baffin_Bay_Gulf_of_St._Lawrence, (9) Canadian_Archipelago, (10) Hudson_Bay, (11) Central_Arctic, (12) Bering_Sea, (13) Baltic_Sea, (14) Sea_of_Okhotsk, (15) Yellow_Sea, (16) Cook_Inlet
 2021326,10513408.63, 1070758.57,  963539.88, 1087085.46,  897826.69,  748852.51,  333314.51,  400681.10,  563423.65,  854546.05,  179190.10, 3211831.52,  180461.52,     955.40,   17240.40,       0.00,    2141.23
 2021327,10629026.81, 1070758.57,  965210.72, 1087085.46,  897826.69,  770757.62,  336071.47,  433974.85,  578383.91,  854546.05,  194462.98, 3208328.77,  209722.66,     955.40,   17240.40,       0.00,    2141.23
 2021328,10665173.60, 1070758.57,  965885.69, 1087085.46,  897826.69,  793865.50,  356649.15,  413763.36,  561407.72,  854546.05,  210593.18, 3212808.74,  217809.93,     955.40,   17388.03,       0.00,    2270.07
 2021329,10730939.29, 1070758.57,  965885.69, 1087085.46,  897826.69,  826730.28,  394934.16,  431045.27,  546981.80,  854546.05,  199713.29, 3213628.26,  219630.23,     955.40,   17388.03,       0.00,    2270.07
 2021330,10837423.91, 1070758.57,  965885.69, 1087085.46,  897826.69,  847932.09,  411747.70,  444098.52,  554265.82,  854546.05,  218770.06, 3210084.05,  252249.68,     955.40,   17388.03,       0.00,    2270.07
 2021331,11126002.45, 1070758.57,  966006.16, 1087085.46,  897826.69,  874349.00,  420154.59,  489972.10,  600960.05,  854615.68,  304986.10, 3216875.90,  297437.10,   10086.83,   28702.37,       0.00,    4625.83
 2021332,11119761.62, 1070775.89,  966006.16, 1087085.46,  897826.69,  884555.85,  434401.22,  480851.49,  597363.83,  854668.00,  271402.45, 3214010.98,  308256.21,    8988.69,   36199.17,       0.00,    5809.51
 2021333,11108512.24, 1070775.89,  966006.16, 1087085.46,  897826.69,  872879.91,  434365.72,  461506.72,  596053.24,  854668.00,  281466.92, 3209439.04,  326589.96,    8988.69,   33490.30,       0.00,    5809.51
 2021334,11171831.16, 1070775.89,  966006.16, 1087085.46,  897826.69,  874104.93,  445466.48,  468844.81,  606453.81,  854668.00,  307719.13, 3208674.50,  335644.98,    6666.19,   34959.85,       0.00,    5374.25
 2021335,11247773.29, 1070775.89,  966006.16, 1087085.46,  897826.69,  870408.20,  457174.36,  493476.44,  616768.82,  854668.00,  320555.63, 3211955.13,  345913.68,    6666.19,   42866.22,       0.00,    4066.38
 2021336,11393202.39, 1070775.89,  966006.16, 1087085.46,  897826.69,  875747.32,  502707.89,  515951.37,  629326.28,  854668.00,  349634.45, 3211952.08,  366240.86,   13314.32,   45371.40,       0.00,    5034.19
 2021337,11392967.25, 1070775.89,  966006.16, 1087137.23,  897826.69,  880414.45,  509514.25,  496586.70,  653822.92,  854685.30,  372433.32, 3196506.85,  336211.42,   16059.91,   45678.57,       0.00,    7747.56
 2021338,11421920.01, 1070775.89,  966006.16, 1087137.23,  897826.69,  894415.17,  499740.71,  508075.31,  642969.10,  854685.30,  395482.94, 3200118.75,  332916.16,   16784.44,   45678.57,       0.00,    7747.56
 2021339,11434726.63, 1070775.89,  966006.16, 1087137.23,  897826.69,  885870.38,  493919.44,  532732.15,  633045.17,  854685.30,  404394.89, 3201553.00,  329447.16,   16784.44,   51241.14,       0.00,    7747.56
 2021340,11428047.40, 1070775.89,  966006.16, 1087137.23,  897826.69,  884331.01,  495052.71,  516329.93,  633049.69,  854685.30,  444497.41, 3199682.90,  268647.62,   20001.83,   80635.58,       0.00,    7747.56
 2021341,11505687.70, 1070775.89,  966006.16, 1087137.23,  897826.69,  881869.72,  483820.86,  509885.00,  636446.72,  854685.30,  556764.91, 3185265.47,  254865.62,   29367.37,   79942.34,       0.00,    6879.77
